Time CO stdev
1980-01-31 66.66269126344088 0.6380892635960685
1980-02-29 66.97639899425286 0.406882384988772
1980-03-31 69.25147876344087 0.4737798533640055
1980-04-30 71.06094833333333 0.7206935315062211
1980-05-31 61.172351209677416 0.3755416974192032
1980-06-30 63.343623750000006 0.7273507428143009
1980-07-31 67.80108736559137 0.4716071638408443
1980-08-31 64.94967903225806 0.5793158845284977
1980-09-30 74.64980138888889 0.7839316503195443
1980-10-31 64.28895981182797 0.6294739330976947
1980-11-30 63.91914263888889 0.4173400803217884
1980-12-31 67.3660745967742 0.3900931886492335
1981-01-31 68.62496935483871 0.4300013955147217
1981-02-28 70.38223601190475 0.4918710823255053
1981-03-31 72.29242083333334 0.9334351196292152
1981-04-30 75.19229472222223 0.724544114026497
1981-05-31 58.724590860215066 0.3297104442142197
1981-06-30 57.83617138888889 0.37998113048685445
1981-07-31 63.719225000000016 0.44022136017210606
1981-08-31 65.5970252688172 0.47720982456207717
1981-09-30 71.0666926388889 0.7504072002421323
1981-10-31 65.63289798387099 0.39169025748987707
1981-11-30 65.9498861111111 0.32951497751362563
1981-12-31 67.23735161290324 0.6003935042720918
1982-01-31 64.29829623655914 0.2609562917718145
1982-02-28 69.66773541666666 0.6181259932078228
1982-03-31 68.71279274193549 0.8048338398277485
1982-04-30 65.8791336111111 0.4566121352763486
1982-05-31 66.91286868279569 0.4006931397234915
1982-06-30 62.23834347222223 0.25813764641612497
1982-07-31 64.62488602150538 0.3744509522753588
1982-08-31 72.99146948924731 0.6972639764870927
1982-09-30 67.80920402777777 0.47179814735648307
1982-10-31 61.3597883064516 0.24807208843986017
1982-11-30 64.75868319444444 0.5952516029331901
1982-12-31 66.84870201612904 0.6352808751990303
1983-01-31 75.30272137096776 0.38216128679446154
1983-02-28 85.40060505952383 0.8783287157442942
1983-03-31 87.54294206989246 0.594671484418592
1983-04-30 79.24309930555555 0.6333194472500799
1983-05-31 74.36305510752689 0.5027266705141195
1983-06-30 62.927773333333334 0.21103160286646397
1983-07-31 66.87344569892473 0.611198438445444
1983-08-31 83.8869069892473 0.8547462648554764
1983-09-30 78.00160486111112 1.8619383126948694
1983-10-31 80.76131639784944 1.7226107790592076
1983-11-30 72.31837527777776 0.5205566568457368
1983-12-31 73.16915403225808 0.7506998409586111
1984-01-31 71.93166572580647 0.580738906219508
1984-02-29 72.66430732758622 0.48636971641815024
1984-03-31 79.68330577956989 0.6180015713756418
1984-04-30 76.84364958333332 0.7691333967364218
1984-05-31 66.82692943548388 0.35658874029218035
1984-06-30 64.08719041666664 0.4127636577728976
1984-07-31 65.57432163978494 0.7202043831181061
1984-08-31 73.5581501344086 0.5379607087914565
1984-09-30 67.62661555555555 0.7159966848588998
1984-10-31 73.64797889784944 1.0778429313074427
1984-11-30 63.65459 0.45097252069489446
1984-12-31 69.41175537634409 0.4577870128857019
1985-01-31 71.2862555107527 0.35983244576957213
1985-02-28 81.39418794642857 0.8204355841553821
1985-03-31 78.69133104838708 0.5557837555654562
1985-04-30 77.34746833333332 0.6343192703271404
1985-05-31 73.36731975806453 0.4384634886952604
1985-06-30 75.74058874999999 1.117127200001934
1985-07-31 74.57974932795699 0.7402882338816832
1985-08-31 75.76975241935483 0.8364978698982601
1985-09-30 77.2608023611111 0.7845939072305737
1985-10-31 67.17330994623657 0.6005911542862443
1985-11-30 62.93916277777778 0.4797156894278068
1985-12-31 64.3939068548387 0.2897481140907738
1986-01-31 73.78643817204299 0.45331243611843297
1986-02-28 74.03597351190477 0.41092651177277884
1986-03-31 74.56518911290323 0.7246543539954944
1986-04-30 83.25510027777776 0.40650786609648604
1986-05-31 74.06204556451613 0.5230793571574271
1986-06-30 68.62883152777779 0.5191357215280447
1986-07-31 70.49442352150538 0.7588493091858
1986-08-31 70.98780860215052 0.4867784274247682
1986-09-30 78.83668263888889 1.2517211329959332
1986-10-31 66.09235846774193 0.40682683544162435
1986-11-30 69.84824555555555 0.692582846597741
1986-12-31 67.75861115591398 0.4580727942892677
1987-01-31 70.16310806451614 0.5114697241998628
1987-02-28 75.13329449404762 0.3782163643296279
1987-03-31 76.72424032258066 0.5149789679950284
1987-04-30 79.22151569444446 0.6276765836503334
1987-05-31 72.45920940860213 0.415404416192136
1987-06-30 73.74930944444446 0.735541951279726
1987-07-31 72.00948938172043 1.158990820202418
1987-08-31 72.42300470430108 0.8086929714516302
1987-09-30 81.21819888888886 1.2758773799730434
1987-10-31 90.46856532258064 1.2105122479660653
1987-11-30 72.98142152777777 0.39352985283906583
1987-12-31 77.89774099462366 1.0160523313404946
1988-01-31 79.12932768817204 0.4264547689485541
1988-02-29 83.58567744252876 0.4142848821144228
1988-03-31 81.70521303763442 0.5460543404908913
1988-04-30 83.53359722222223 0.5078314114989255
1988-05-31 79.15742836021506 0.9418472946681876
1988-06-30 75.43187000000002 0.706500004871745
1988-07-31 82.65119986559141 1.4113279052908376
1988-08-31 85.86535793010754 1.9894577796064923
1988-09-30 85.64165277777778 1.4333134336327173
1988-10-31 76.20360215053762 0.827826107447269
1988-11-30 80.19936486111109 0.8774726740956733
1988-12-31 71.65546774193548 0.736637011115936
1989-01-31 69.66643830645162 0.3360796590110924
1989-02-28 75.02713363095238 0.3910105979264587
1989-03-31 83.48946854838711 0.6474965976643404
1989-04-30 82.44893805555556 0.5996131313032873
1989-05-31 76.14207553763441 0.5740234782402331
1989-06-30 73.76843124999999 0.46356500524776023
1989-07-31 78.04052620967741 0.535305575002441
1989-08-31 83.98488508064516 1.307302222378896
1989-09-30 69.80851694444443 0.6982157249325873
