Time CO stdev
1980-01-31 157.57156451612903 6.884762789894101
1980-02-29 195.43113649425285 9.093608481657212
1980-03-31 205.27616129032256 8.640855230953042
1980-04-30 191.51628611111104 8.894823854459645
1980-05-31 144.73952822580645 7.222532465833999
1980-06-30 136.70278194444438 6.496598992870858
1980-07-31 137.61397930107526 6.215021291519489
1980-08-31 127.78356438172042 4.86335413192854
1980-09-30 165.95666944444446 5.9330413458466635
1980-10-31 173.93240860215053 6.957929041248678
1980-11-30 231.19237638888887 6.768049100866044
1980-12-31 193.13506989247313 7.043955164731745
1981-01-31 159.30402688172043 7.017039964124589
1981-02-28 180.16378869047617 9.658168120813416
1981-03-31 179.6083951612903 9.119641635929716
1981-04-30 179.01964027777774 6.913949940848296
1981-05-31 144.90482190860214 6.144004755737385
1981-06-30 147.49273125000005 8.085559884111799
1981-07-31 141.22954408602152 9.461143229408412
1981-08-31 138.50782258064518 5.336853875373638
1981-09-30 182.7906277777778 7.272677103567204
1981-10-31 229.52106451612903 9.844864552637215
1981-11-30 181.05350277777774 9.086281755247084
1981-12-31 168.51419489247309 8.834202736624764
1982-01-31 175.1006572580645 8.91910926589877
1982-02-28 187.97904910714283 6.8973138736235295
1982-03-31 188.7080672043011 9.863854456459643
1982-04-30 184.0864736111111 7.118254574159032
1982-05-31 155.24869758064514 7.230168215477702
1982-06-30 147.6916698611111 8.858240026849257
1982-07-31 142.61214247311824 8.665470650487629
1982-08-31 136.06816008064519 6.046827163668159
1982-09-30 173.0072277777778 6.440701879746071
1982-10-31 194.56427688172045 6.0574370929646415
1982-11-30 199.5654166666667 9.773903540566765
1982-12-31 230.73184274193548 7.383332038915108
1983-01-31 207.2310658602151 8.010536764108169
1983-02-28 225.27279910714287 7.773228220241365
1983-03-31 219.2015819892474 7.438067862122363
1983-04-30 216.86750000000004 5.274192860158437
1983-05-31 159.65534005376344 6.717943408162823
1983-06-30 141.18661250000002 6.340879669055789
1983-07-31 137.8388870967742 4.52912994767069
1983-08-31 145.33269435483876 6.199348867888497
1983-09-30 186.715725 10.160558104277326
1983-10-31 203.67002688172047 11.676700360138721
1983-11-30 195.68709444444443 10.644396981097723
1983-12-31 196.41437365591398 12.510159345878293
1984-01-31 184.69050940860217 7.568379809480719
1984-02-29 195.97447126436776 9.82275098304357
1984-03-31 217.08787499999997 10.419296508020656
1984-04-30 168.09555 6.309962603672939
1984-05-31 143.45397903225805 7.105160697268973
1984-06-30 131.97119152777776 4.477226120226494
1984-07-31 134.49254099462362 10.51437821126308
1984-08-31 136.11726693548383 7.0404294108459
1984-09-30 221.21542083333333 13.813808338958111
1984-10-31 232.48837499999993 9.23087176479981
1984-11-30 232.90987777777784 8.179288522579963
1984-12-31 180.21544220430107 8.918458395803171
1985-01-31 207.0089905913979 8.525544506389199
1985-02-28 201.2366681547619 11.595792978668237
1985-03-31 220.21915994623657 9.023410393352696
1985-04-30 193.56504444444445 10.136163501062441
1985-05-31 167.85027150537633 6.383972231910343
1985-06-30 149.0903976388889 7.51508018635996
1985-07-31 140.61927284946236 7.773459635676509
1985-08-31 137.68431344086022 5.1019771733130765
1985-09-30 182.5853513888889 8.367403166950547
1985-10-31 196.66534946236555 8.382271738247503
1985-11-30 196.90349583333335 5.740392024782143
1985-12-31 196.34096908602152 9.778598032645986
1986-01-31 182.1154327956989 10.414160994224568
1986-02-28 220.4491041666667 6.483650821395025
1986-03-31 221.603751344086 6.716653852389136
1986-04-30 204.33504722222224 10.45178523875197
1986-05-31 164.113 7.368541759273283
1986-06-30 165.12874583333334 10.369147330878175
1986-07-31 142.0801825268817 11.652217416524886
1986-08-31 140.7032134408602 9.621881944576975
1986-09-30 180.4317611111111 8.156491743742746
1986-10-31 170.71542204301076 5.742401011592242
1986-11-30 209.53165138888886 7.3495623188247485
1986-12-31 221.27513172043018 8.775514311146285
1987-01-31 193.66149193548387 7.718568486360913
1987-02-28 205.96226785714285 9.312166551525166
1987-03-31 199.67595026881713 7.2401841348908205
1987-04-30 184.9506069444444 9.668553036817356
1987-05-31 157.75812231182792 10.366791811660557
1987-06-30 149.9115291666667 7.555520075510579
1987-07-31 144.13356989247313 6.756656700591032
1987-08-31 158.0381639784946 5.294287965294288
1987-09-30 197.69616111111108 7.685493501959965
1987-10-31 195.79900672043016 6.2201691625980535
1987-11-30 203.23093749999998 9.000835530400671
1987-12-31 184.9733293010752 10.358106188921825
1988-01-31 223.85875000000001 8.921003367378153
1988-02-29 221.25971551724135 10.613760924348817
1988-03-31 235.05151478494628 12.107078487613602
1988-04-30 179.65233888888892 9.430143458739705
1988-05-31 177.67612096774195 10.148661906703547
1988-06-30 147.05326666666667 6.822049228882375
1988-07-31 152.03542876344085 7.051357336677953
1988-08-31 153.1191008064516 7.799523815546596
1988-09-30 189.28486250000003 8.82198353368265
1988-10-31 254.85486827956987 15.958530335275961
1988-11-30 199.14140000000003 8.915113277410237
1988-12-31 174.27458467741937 9.410033967546054
1989-01-31 212.85811290322576 10.443452808221954
1989-02-28 220.48735863095234 11.871341688255054
1989-03-31 220.4334072580645 11.244686938601937
1989-04-30 213.94214027777778 5.927478755702315
1989-05-31 179.29801478494625 8.055680759646666
1989-06-30 187.95439722222227 10.15456105727011
1989-07-31 164.05749462365594 10.002652597896068
1989-08-31 154.18191532258064 8.673503114647604
1989-09-30 214.0519875 10.710130958593085
1989-10-31 208.42050537634415 8.862351328892249
1989-11-30 227.11891666666668 12.906320725534856
1989-12-31 195.14556317204304 8.783950988941587
1990-01-31 186.95766935483869 14.182894950067897
